                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6442,                 2.4606,                 1.8231,                0.17048,                0.44737,                 0.2572,                0.06855,                 2.0831,                 4.2802,                 2.5451,             0.00064957,             0.00064957,             0.00064957
                      2,                 1.4783,                 1.8479,                 1.6267,                0.61227,                0.55263,                0.61779,                0.34543,                 1.5361,                 3.0348,                 1.9602,              0.0012945,              0.0012945,              0.0012945
                      3,                 1.6036,                 1.8041,                 1.6998,                0.31454,                0.47368,                0.34516,                 0.1446,                 1.9221,                 5.9253,                 2.1648,              0.0019175,              0.0019175,              0.0019175
                      4,                 1.6123,                 1.6557,                 1.7108,                0.28962,                    0.5,                0.27618,                0.08383,                 2.3509,                  2.568,                 2.5075,               0.001901,               0.001901,               0.001901
                      5,                 1.5396,                 1.4756,                 1.6611,                0.89656,                0.68427,                0.79167,                0.41226,                 1.6307,                 1.9892,                 1.7607,               0.001901,               0.001901,               0.001901
                      6,                 1.5022,                 1.4162,                 1.6468,                0.83357,                0.71053,                0.86017,                0.51295,                 1.4169,                 1.2133,                  1.603,               0.001868,               0.001868,               0.001868
                      7,                 1.4811,                 1.2962,                 1.6379,                0.89058,                0.84211,                0.92812,                0.53471,                 1.4591,                 1.0396,                 1.6111,               0.001835,               0.001835,               0.001835
                      8,                 1.4562,                 1.2536,                 1.5675,                0.88669,                0.92674,                0.97203,                0.63866,                 1.1619,                0.97134,                 1.3742,               0.001802,               0.001802,               0.001802
                      9,                 1.4043,                 1.1254,                 1.5235,                0.85908,                0.88235,                0.93086,                0.60008,                 1.2542,                 0.9723,                 1.4485,               0.001769,               0.001769,               0.001769
                     10,                 1.3832,                 1.1186,                 1.5315,                0.92301,                0.78869,                0.92871,                0.61045,                  1.233,                 1.0861,                 1.4064,               0.001736,               0.001736,               0.001736
                     11,                 1.3353,                 1.0355,                 1.5028,                0.80089,                0.89977,                 0.9181,                0.59731,                 1.2824,                 1.1685,                 1.4901,               0.001703,               0.001703,               0.001703
